epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,27256.5,0.97266,0.54422,0.12742,0.62959,0.59103,0.65508,0.37084,0.54989,0.6373,0.07998,0.008614,0.008614,0.008614
44,27889.3,1.02045,0.52691,0.13412,0.68052,0.5979,0.66766,0.40656,0.50521,0.658,0.07453,0.008581,0.008581,0.008581
45,28522.4,0.97371,0.54331,0.12859,0.68026,0.62113,0.6828,0.41653,0.50623,0.63542,0.07417,0.008548,0.008548,0.008548
46,29155.9,0.98923,0.54158,0.13209,0.72425,0.60901,0.68359,0.41554,0.49169,0.65203,0.07268,0.008515,0.008515,0.008515
47,29789.5,0.96584,0.5477,0.12532,0.69756,0.60841,0.67763,0.38805,0.53843,0.63072,0.07618,0.008482,0.008482,0.008482
48,30423.5,0.96034,0.54124,0.12212,0.72863,0.64362,0.70129,0.43113,0.48854,0.61772,0.0728,0.008449,0.008449,0.008449
49,31057,0.97588,0.55028,0.12484,0.7369,0.63001,0.70271,0.43004,0.49929,0.61074,0.07429,0.008416,0.008416,0.008416
50,31690.1,1.00961,0.52543,0.12968,0.70226,0.64215,0.69221,0.4116,0.527,0.59871,0.07445,0.008383,0.008383,0.008383
51,32321.6,0.98469,0.5378,0.12738,0.66512,0.63677,0.69057,0.43274,0.49568,0.60231,0.06996,0.00835,0.00835,0.00835
52,32953.5,0.96835,0.55021,0.12317,0.67469,0.64233,0.68607,0.3845,0.53325,0.62769,0.07399,0.008317,0.008317,0.008317
53,33586.1,0.89397,0.59627,0.11668,0.67066,0.61853,0.66293,0.3668,0.54711,0.64232,0.07624,0.008284,0.008284,0.008284
54,34218.6,0.84492,0.64636,0.10898,0.68255,0.58995,0.65175,0.37244,0.56119,0.63641,0.07675,0.008251,0.008251,0.008251
55,34850.3,0.85206,0.63325,0.10788,0.65956,0.58207,0.64273,0.36725,0.59864,0.60425,0.08056,0.008218,0.008218,0.008218
56,35483.9,0.88816,0.62982,0.11519,0.70018,0.61581,0.67308,0.39007,0.56089,0.5971,0.0791,0.008185,0.008185,0.008185
57,36117.9,0.80005,0.65615,0.10354,0.65462,0.6336,0.67905,0.39233,0.54814,0.60178,0.07566,0.008152,0.008152,0.008152
58,36750.5,0.8317,0.65039,0.1065,0.63823,0.62631,0.67103,0.38151,0.55154,0.61013,0.07761,0.008119,0.008119,0.008119
59,37382.1,0.82579,0.64312,0.10475,0.63276,0.62833,0.67321,0.38763,0.53289,0.62586,0.0764,0.008086,0.008086,0.008086
60,38015.6,0.78612,0.66061,0.1041,0.65556,0.6249,0.68323,0.40365,0.4991,0.64261,0.07309,0.008053,0.008053,0.008053
61,38649.4,0.81429,0.65705,0.10503,0.6697,0.62839,0.68837,0.41995,0.47938,0.64802,0.07135,0.00802,0.00802,0.00802
62,39281.9,0.86583,0.62935,0.11259,0.65917,0.63607,0.69208,0.42693,0.47116,0.64941,0.07064,0.007987,0.007987,0.007987
63,39915.5,0.82087,0.6396,0.10582,0.65918,0.62863,0.69351,0.42765,0.49185,0.62673,0.07252,0.007954,0.007954,0.007954
64,40549.5,0.80125,0.65029,0.10463,0.7076,0.61392,0.69106,0.42671,0.50142,0.62076,0.07282,0.007921,0.007921,0.007921
65,41182.1,0.83786,0.64129,0.106,0.73714,0.60417,0.68601,0.4253,0.5137,0.61415,0.07437,0.007888,0.007888,0.007888
66,41816,0.7975,0.66031,0.10161,0.76162,0.60448,0.68549,0.42206,0.52301,0.60756,0.07501,0.007855,0.007855,0.007855
67,42447.6,0.86056,0.61842,0.10824,0.76365,0.60311,0.68022,0.41522,0.53032,0.60831,0.07593,0.007822,0.007822,0.007822
68,43081.2,0.86983,0.65584,0.11243,0.77015,0.59409,0.67566,0.41203,0.53765,0.61429,0.07683,0.007789,0.007789,0.007789
69,43716,0.82877,0.63485,0.10579,0.76472,0.58917,0.67703,0.40878,0.53498,0.6204,0.07679,0.007756,0.007756,0.007756
70,44348,0.87984,0.62638,0.11542,0.765,0.58326,0.67641,0.40833,0.53932,0.62026,0.07745,0.007723,0.007723,0.007723
71,44980.7,0.83389,0.63594,0.1074,0.7823,0.57961,0.67516,0.40937,0.53316,0.62676,0.07712,0.00769,0.00769,0.00769
