epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.145,2.0881,3.06339,1.31638,0.49614,0.43634,0.42312,0.19744,1.94241,1.67549,1.10025,0.00333165,0.00333165,0.00333165
2,327.02,2.0522,1.94303,1.25685,0.51775,0.43191,0.41122,0.18684,2.00809,1.73964,1.19936,0.00664299,0.00664299,0.00664299
3,480.924,2.18311,2.11369,1.33588,0.38567,0.34586,0.29781,0.13895,2.16757,2.06552,1.26522,0.00993233,0.00993233,0.00993233
4,631.816,2.25551,2.22735,1.40559,0.42454,0.3874,0.37436,0.16516,2.12786,1.81329,1.25601,0.009901,0.009901,0.009901
5,862.716,2.13505,2.00532,1.34936,0.51098,0.38597,0.38131,0.18171,2.05265,1.80398,1.24923,0.009868,0.009868,0.009868
6,1186.04,2.04906,1.86684,1.31094,0.53308,0.42913,0.42312,0.20619,1.97355,1.67452,1.19193,0.009835,0.009835,0.009835
7,1534.63,1.97389,1.7955,1.27726,0.53934,0.43033,0.44131,0.21252,1.9814,1.55789,1.18579,0.009802,0.009802,0.009802
8,1881.29,1.94036,1.7224,1.2619,0.56042,0.49635,0.51718,0.25138,1.88755,1.49342,1.1505,0.009769,0.009769,0.009769
9,2232.38,1.90739,1.68189,1.24547,0.63738,0.49338,0.52756,0.26515,1.8874,1.47739,1.13782,0.009736,0.009736,0.009736
10,2582.39,1.85402,1.60868,1.22378,0.61175,0.54034,0.54106,0.2689,1.81315,1.42876,1.12248,0.009703,0.009703,0.009703
11,2932.78,1.8379,1.55833,1.21096,0.66525,0.53429,0.5662,0.28452,1.78261,1.44687,1.10277,0.00967,0.00967,0.00967
12,3281.8,1.81054,1.52986,1.20004,0.70038,0.52425,0.58353,0.30385,1.76564,1.35684,1.10427,0.009637,0.009637,0.009637
13,3632.55,1.77638,1.48946,1.18579,0.65162,0.59199,0.59215,0.30347,1.74698,1.38574,1.09847,0.009604,0.009604,0.009604
14,3990.92,1.77409,1.47867,1.18174,0.69757,0.57274,0.62439,0.32691,1.7314,1.32006,1.08401,0.009571,0.009571,0.009571
15,4344.82,1.74027,1.43394,1.16804,0.65832,0.60199,0.60068,0.31824,1.72633,1.32,1.07698,0.009538,0.009538,0.009538
16,4693.41,1.71852,1.40978,1.16574,0.69638,0.6094,0.65074,0.34257,1.6426,1.24459,1.06115,0.009505,0.009505,0.009505
17,5041.95,1.72978,1.38986,1.15842,0.7002,0.57278,0.61806,0.3334,1.70902,1.33292,1.07922,0.009472,0.009472,0.009472
18,5390.09,1.70496,1.37725,1.14953,0.69724,0.6119,0.64144,0.3448,1.69732,1.2694,1.07331,0.009439,0.009439,0.009439
19,5739.08,1.69481,1.37368,1.13805,0.72732,0.62046,0.66765,0.36148,1.63037,1.24779,1.04311,0.009406,0.009406,0.009406
20,6087.85,1.68614,1.34453,1.13929,0.72564,0.61352,0.67342,0.36827,1.64096,1.16568,1.04745,0.009373,0.009373,0.009373
21,6436.71,1.65853,1.33585,1.13309,0.72218,0.6224,0.66808,0.36738,1.64058,1.21486,1.04881,0.00934,0.00934,0.00934
22,6799.06,1.66564,1.31474,1.13494,0.70998,0.64706,0.66405,0.36465,1.63538,1.22649,1.0514,0.009307,0.009307,0.009307
23,7149.09,1.65182,1.30905,1.12744,0.71556,0.63042,0.68154,0.37976,1.62314,1.20135,1.04946,0.009274,0.009274,0.009274
24,7499.16,1.6503,1.29451,1.12229,0.72281,0.62532,0.69394,0.3931,1.60806,1.17178,1.03899,0.009241,0.009241,0.009241
25,7849.11,1.64909,1.28582,1.12095,0.72332,0.64114,0.69625,0.38954,1.61181,1.20588,1.04214,0.009208,0.009208,0.009208
26,8198.49,1.62713,1.25531,1.11297,0.78636,0.65121,0.73004,0.41425,1.5859,1.14444,1.02954,0.009175,0.009175,0.009175
27,8548.08,1.6298,1.26041,1.10737,0.74944,0.66153,0.71836,0.41274,1.56398,1.1616,1.02408,0.009142,0.009142,0.009142
28,8895.26,1.63983,1.27618,1.11948,0.75865,0.65063,0.72371,0.41241,1.58963,1.13873,1.02227,0.009109,0.009109,0.009109
29,9252.5,1.62175,1.25382,1.10977,0.78316,0.66189,0.72406,0.41478,1.56535,1.10165,1.00971,0.009076,0.009076,0.009076
30,9607.36,1.61269,1.23793,1.10938,0.78195,0.66261,0.73096,0.42223,1.5597,1.10508,1.01606,0.009043,0.009043,0.009043
31,9957.02,1.6094,1.23393,1.10551,0.76837,0.65351,0.73146,0.42523,1.56543,1.11159,1.00762,0.00901,0.00901,0.00901
32,10306.8,1.60095,1.22553,1.10096,0.79555,0.67727,0.73894,0.42999,1.54836,1.10762,1.00715,0.008977,0.008977,0.008977
33,10657,1.5928,1.21319,1.10373,0.82872,0.67239,0.75341,0.43904,1.53448,1.08892,1.0153,0.008944,0.008944,0.008944
34,11006,1.58194,1.203,1.089,0.80583,0.68831,0.75826,0.43687,1.54806,1.09232,1.01704,0.008911,0.008911,0.008911
35,11356,1.59875,1.21332,1.10099,0.80039,0.70121,0.7587,0.43628,1.56924,1.10976,1.01639,0.008878,0.008878,0.008878
36,11704.4,1.58266,1.19569,1.08853,0.79979,0.6919,0.75839,0.43704,1.53674,1.06595,1.00588,0.008845,0.008845,0.008845
37,12066.9,1.55895,1.17383,1.08697,0.80572,0.69737,0.75644,0.43679,1.56151,1.09267,1.00745,0.008812,0.008812,0.008812
38,12415.1,1.57336,1.1711,1.08846,0.8256,0.69781,0.76816,0.44332,1.5623,1.07979,1.00669,0.008779,0.008779,0.008779
39,12765,1.57418,1.16812,1.07943,0.83397,0.68883,0.77381,0.44484,1.53503,1.06903,1.00537,0.008746,0.008746,0.008746
40,13114.4,1.55058,1.1623,1.07828,0.82232,0.69647,0.76943,0.45074,1.55265,1.07836,1.00506,0.008713,0.008713,0.008713
41,13464.7,1.56473,1.17461,1.08117,0.81918,0.70025,0.77357,0.45743,1.54847,1.06236,1.00098,0.00868,0.00868,0.00868
42,13814.6,1.57191,1.16394,1.07911,0.81886,0.71746,0.77538,0.45417,1.54259,1.05875,1.00218,0.008647,0.008647,0.008647
43,14164.3,1.54347,1.14228,1.06953,0.82548,0.70911,0.77857,0.45587,1.52931,1.0445,0.99681,0.008614,0.008614,0.008614
44,14519.9,1.53488,1.13544,1.07538,0.80129,0.73124,0.78258,0.46106,1.52799,1.05091,0.99763,0.008581,0.008581,0.008581
45,14877.4,1.54837,1.1457,1.07372,0.81796,0.72664,0.78453,0.46646,1.51165,1.00597,0.98668,0.008548,0.008548,0.008548
46,15226.5,1.55112,1.14715,1.07684,0.83187,0.72522,0.78895,0.46616,1.51405,1.0164,0.98554,0.008515,0.008515,0.008515
47,15576,1.54342,1.12502,1.0765,0.838,0.72345,0.78965,0.46706,1.50239,1.00079,0.98258,0.008482,0.008482,0.008482
48,15925.3,1.51831,1.10759,1.06349,0.82566,0.72376,0.78648,0.46729,1.52824,1.04034,0.99446,0.008449,0.008449,0.008449
49,16274.6,1.53015,1.11891,1.06705,0.81466,0.72333,0.78578,0.46704,1.52649,1.05173,0.99433,0.008416,0.008416,0.008416
50,16625.3,1.52581,1.10922,1.06873,0.80392,0.72934,0.78452,0.46752,1.51965,1.06672,0.99412,0.008383,0.008383,0.008383
51,16975.4,1.52319,1.11282,1.06595,0.78456,0.73982,0.78794,0.47027,1.50612,1.05224,0.99,0.00835,0.00835,0.00835
52,17333.4,1.51513,1.0973,1.06435,0.83119,0.72403,0.79001,0.47173,1.5002,1.05009,0.98506,0.008317,0.008317,0.008317
53,17689,1.50336,1.08806,1.05696,0.83178,0.72721,0.79144,0.47503,1.48821,1.03991,0.98321,0.008284,0.008284,0.008284
54,18039.2,1.51238,1.09213,1.0625,0.82257,0.73177,0.79011,0.47475,1.49041,1.03451,0.98313,0.008251,0.008251,0.008251
55,18388.4,1.49998,1.0788,1.05468,0.83038,0.73119,0.78985,0.47397,1.48699,1.03107,0.98234,0.008218,0.008218,0.008218
56,18737.6,1.50525,1.09308,1.05174,0.83299,0.73086,0.79001,0.47308,1.48735,1.02343,0.9814,0.008185,0.008185,0.008185
57,19088.4,1.50075,1.07805,1.04865,0.83739,0.72899,0.79276,0.47576,1.48577,1.00873,0.98093,0.008152,0.008152,0.008152
58,19438.5,1.4972,1.06696,1.05237,0.83977,0.72847,0.79414,0.47497,1.4834,1.00594,0.98109,0.008119,0.008119,0.008119
59,19787.6,1.49968,1.07879,1.05679,0.8396,0.72763,0.79442,0.47642,1.48379,0.99933,0.98107,0.008086,0.008086,0.008086
60,20145.8,1.49903,1.08028,1.04996,0.83149,0.7277,0.7936,0.47735,1.48525,0.99909,0.98052,0.008053,0.008053,0.008053
