epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,17426.3,1.59962,1.22369,1.10675,0.79289,0.69144,0.74876,0.42082,1.53668,1.01323,0.99537,0.008614,0.008614,0.008614
44,17830.8,1.58998,1.20511,1.11061,0.78603,0.69379,0.74436,0.41937,1.52468,1.01381,0.99435,0.008581,0.008581,0.008581
45,18233.7,1.60524,1.21582,1.1099,0.78429,0.69841,0.75395,0.42768,1.51769,0.99787,0.99228,0.008548,0.008548,0.008548
46,18636.5,1.60645,1.22653,1.11089,0.80418,0.69965,0.76261,0.4294,1.53135,1.00819,0.99589,0.008515,0.008515,0.008515
47,19040.3,1.60345,1.20685,1.11516,0.80951,0.6933,0.76297,0.43354,1.52706,1.01624,0.99462,0.008482,0.008482,0.008482
48,19435.5,1.572,1.18827,1.10497,0.80472,0.68953,0.76297,0.43446,1.52402,1.03618,1.00219,0.008449,0.008449,0.008449
49,19839.2,1.58004,1.1954,1.10282,0.79153,0.69999,0.75771,0.43596,1.5256,1.03146,1.00155,0.008416,0.008416,0.008416
50,20242.8,1.57655,1.19308,1.10454,0.78485,0.69469,0.75532,0.43394,1.51906,1.03581,1.00214,0.008383,0.008383,0.008383
51,20645.8,1.5677,1.1851,1.09782,0.7931,0.69513,0.75756,0.43587,1.52299,1.03369,1.00237,0.00835,0.00835,0.00835
52,21048.8,1.56914,1.17086,1.10169,0.78911,0.69044,0.75617,0.43874,1.521,1.03592,1.00058,0.008317,0.008317,0.008317
53,21452.4,1.56798,1.17646,1.10162,0.7918,0.69602,0.75799,0.44018,1.5162,1.03408,0.99891,0.008284,0.008284,0.008284
54,21854.9,1.56529,1.17229,1.09869,0.79947,0.69637,0.76263,0.44152,1.51583,1.03313,0.99691,0.008251,0.008251,0.008251
55,22252.7,1.55607,1.15609,1.09228,0.80072,0.69971,0.761,0.43921,1.51117,1.02573,0.99435,0.008218,0.008218,0.008218
56,22655.1,1.5564,1.16174,1.0883,0.8062,0.70114,0.76564,0.43908,1.51469,1.01841,0.99377,0.008185,0.008185,0.008185
57,23057.7,1.55823,1.16258,1.08507,0.81519,0.69702,0.76675,0.44046,1.51159,1.01372,0.99284,0.008152,0.008152,0.008152
58,23461.8,1.55538,1.15675,1.08759,0.80339,0.69181,0.76311,0.44036,1.51816,1.01469,0.99339,0.008119,0.008119,0.008119
59,23864.3,1.55834,1.15758,1.0916,0.80225,0.69055,0.76406,0.44036,1.51619,1.01271,0.99356,0.008086,0.008086,0.008086
60,24267.1,1.5546,1.16875,1.08473,0.81504,0.68883,0.76613,0.44292,1.5121,1.01067,0.99246,0.008053,0.008053,0.008053
61,24668,1.54702,1.14883,1.09018,0.79082,0.69793,0.76911,0.44126,1.51043,1.00513,0.99222,0.00802,0.00802,0.00802
62,25065.2,1.54551,1.13685,1.08445,0.79687,0.70008,0.76935,0.44117,1.50948,1.00462,0.99182,0.007987,0.007987,0.007987
63,25470.1,1.53392,1.13446,1.0806,0.79591,0.70045,0.76999,0.44211,1.50917,1.00544,0.99219,0.007954,0.007954,0.007954
64,25873.4,1.52926,1.12547,1.08092,0.79193,0.7056,0.77017,0.44134,1.50798,1.00575,0.99192,0.007921,0.007921,0.007921
65,26276.3,1.53794,1.14607,1.07613,0.79068,0.71017,0.76965,0.44047,1.50612,1.00602,0.99075,0.007888,0.007888,0.007888
66,26679.3,1.53337,1.14044,1.08221,0.79142,0.71017,0.77005,0.44112,1.50533,1.00472,0.99036,0.007855,0.007855,0.007855
67,27081.8,1.53194,1.1229,1.0804,0.79241,0.70506,0.76898,0.44193,1.507,1.0067,0.99013,0.007822,0.007822,0.007822
68,27481.1,1.52925,1.12106,1.07445,0.7926,0.70664,0.77073,0.44384,1.50551,1.00559,0.99054,0.007789,0.007789,0.007789
69,27881,1.53272,1.13765,1.07682,0.79232,0.7093,0.77248,0.44589,1.50566,1.00662,0.99116,0.007756,0.007756,0.007756
70,28284.4,1.51435,1.10437,1.07273,0.80448,0.70775,0.77416,0.44696,1.50299,1.00695,0.99107,0.007723,0.007723,0.007723
71,28687.7,1.5198,1.11664,1.07121,0.80758,0.70896,0.77516,0.44761,1.50303,1.00567,0.99076,0.00769,0.00769,0.00769
72,29090.2,1.51528,1.10313,1.07005,0.80597,0.71064,0.77553,0.44701,1.50371,1.00383,0.98992,0.007657,0.007657,0.007657
73,29493.1,1.52305,1.11054,1.06937,0.80071,0.71247,0.77611,0.44859,1.50289,1.00607,0.98974,0.007624,0.007624,0.007624
74,29895.9,1.52662,1.11076,1.07104,0.80299,0.71657,0.7766,0.45016,1.50208,1.00528,0.98958,0.007591,0.007591,0.007591
75,30292.9,1.49835,1.07429,1.07196,0.80253,0.71815,0.77719,0.44989,1.50093,1.00601,0.98946,0.007558,0.007558,0.007558
76,30693.9,1.51107,1.10658,1.0688,0.79665,0.7216,0.77832,0.45131,1.49902,1.00216,0.98905,0.007525,0.007525,0.007525
77,31096.6,1.50517,1.09546,1.06372,0.8007,0.71356,0.77847,0.45183,1.49937,1.00121,0.98905,0.007492,0.007492,0.007492
78,31499.1,1.50058,1.08431,1.06767,0.79398,0.72044,0.77909,0.45138,1.49758,1.00285,0.98923,0.007459,0.007459,0.007459
79,31903.3,1.49747,1.08313,1.06429,0.79429,0.72168,0.77937,0.45199,1.49633,0.99907,0.98885,0.007426,0.007426,0.007426
80,32307.4,1.4958,1.07789,1.06619,0.79595,0.72102,0.78041,0.45178,1.49509,0.99854,0.9892,0.007393,0.007393,0.007393
81,32710.8,1.49646,1.08971,1.0593,0.79389,0.72154,0.7807,0.45191,1.49645,0.99825,0.98867,0.00736,0.00736,0.00736
82,33105.5,1.50883,1.08717,1.06287,0.79611,0.72207,0.78131,0.45238,1.49641,0.99754,0.98856,0.007327,0.007327,0.007327
83,33508.5,1.50268,1.08004,1.06661,0.79324,0.7244,0.77954,0.45218,1.49495,0.999,0.98847,0.007294,0.007294,0.007294
84,33911.3,1.48882,1.05911,1.05987,0.79767,0.72374,0.78056,0.45194,1.4951,0.99797,0.9881,0.007261,0.007261,0.007261
85,34314.7,1.48198,1.061,1.05704,0.79589,0.72419,0.78081,0.45218,1.49452,0.99748,0.98828,0.007228,0.007228,0.007228
86,34718,1.48949,1.06807,1.05673,0.79568,0.72376,0.78104,0.45345,1.49278,0.99566,0.98763,0.007195,0.007195,0.007195
87,35121.3,1.48696,1.07664,1.06276,0.79694,0.72374,0.78133,0.45375,1.49381,0.99671,0.98762,0.007162,0.007162,0.007162
88,35525.3,1.47742,1.06041,1.05836,0.79601,0.72379,0.78087,0.45421,1.49342,0.99603,0.98725,0.007129,0.007129,0.007129
89,35920.7,1.4805,1.05134,1.05285,0.79831,0.72542,0.7814,0.45478,1.49446,0.99664,0.98705,0.007096,0.007096,0.007096
90,36324.2,1.47476,1.06005,1.05933,0.79693,0.72518,0.78191,0.45521,1.49316,0.99635,0.98702,0.007063,0.007063,0.007063
91,36727.4,1.47011,1.04382,1.05163,0.79757,0.72557,0.78184,0.4541,1.49379,0.99681,0.98688,0.00703,0.00703,0.00703
92,37131.6,1.46559,1.03284,1.05069,0.79899,0.72488,0.78238,0.45457,1.49256,0.99763,0.98677,0.006997,0.006997,0.006997
93,37536.6,1.47075,1.04435,1.05536,0.79897,0.72284,0.78341,0.4562,1.48917,0.99443,0.98644,0.006964,0.006964,0.006964
94,37939.5,1.46902,1.04507,1.0479,0.79695,0.72047,0.78302,0.45644,1.48949,0.99443,0.98602,0.006931,0.006931,0.006931
95,38343.5,1.46452,1.0303,1.05045,0.80168,0.71954,0.7835,0.45746,1.48863,0.99427,0.98596,0.006898,0.006898,0.006898
96,38739.1,1.45678,1.02354,1.04864,0.79707,0.72022,0.78489,0.45683,1.48972,0.99538,0.98556,0.006865,0.006865,0.006865
97,39141.9,1.46442,1.03077,1.04693,0.80077,0.71955,0.78467,0.45711,1.48917,0.99472,0.98535,0.006832,0.006832,0.006832
98,39544.1,1.45,1.03397,1.04238,0.79735,0.71942,0.78425,0.45669,1.48798,0.99338,0.98522,0.006799,0.006799,0.006799
99,39947.8,1.4415,1.02269,1.04134,0.79347,0.72198,0.7838,0.4567,1.4874,0.99341,0.9851,0.006766,0.006766,0.006766
100,40351.5,1.45632,1.01981,1.04639,0.79856,0.71703,0.78367,0.457,1.48643,0.99363,0.98482,0.006733,0.006733,0.006733
101,40755.3,1.44486,1.02649,1.0388,0.7965,0.72219,0.78317,0.45695,1.48691,0.99232,0.98462,0.0067,0.0067,0.0067
102,41158.5,1.45557,1.01598,1.05115,0.79532,0.7178,0.78475,0.45758,1.48447,0.98986,0.98423,0.006667,0.006667,0.006667
103,41554.6,1.45023,1.01832,1.04478,0.79721,0.71922,0.78448,0.45795,1.48453,0.99005,0.98393,0.006634,0.006634,0.006634
104,41958.4,1.44214,1.00412,1.03901,0.79659,0.72244,0.78432,0.4576,1.48252,0.98893,0.98328,0.006601,0.006601,0.006601
105,42361.3,1.4573,1.02793,1.04468,0.79414,0.72129,0.78417,0.45754,1.48186,0.98658,0.9829,0.006568,0.006568,0.006568
106,42765.7,1.44028,1.00438,1.03555,0.79345,0.72,0.78443,0.4579,1.48225,0.98643,0.98313,0.006535,0.006535,0.006535
107,43169.1,1.43466,0.99147,1.04193,0.7923,0.71901,0.78451,0.45836,1.48274,0.98698,0.98314,0.006502,0.006502,0.006502
