epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6617.91,1.81263,1.1449,0.00448,0.77596,0.71917,0.78872,0.45461,1.75591,1.02631,0.00509,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,6822.64,1.79722,1.14321,0.00442,0.76889,0.72682,0.77672,0.44502,1.7285,1.04089,0.00497,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,7026.49,1.80246,1.13273,0.00432,0.84311,0.70282,0.7956,0.46127,1.75308,1.01138,0.00498,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,7230.19,1.79277,1.11197,0.00437,0.80063,0.72526,0.79379,0.46615,1.7478,1.00974,0.00492,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,7433.79,1.78515,1.11622,0.0043,0.77783,0.72478,0.78775,0.45825,1.73289,1.0332,0.00493,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,7637.54,1.80032,1.1051,0.00437,0.78792,0.74124,0.79736,0.4658,1.72784,1.0173,0.0047,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,7840.82,1.77595,1.10708,0.00427,0.8143,0.70689,0.79295,0.46113,1.7258,1.02218,0.0048,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,8044.97,1.7695,1.09168,0.00422,0.78898,0.74673,0.80081,0.47556,1.71474,0.98776,0.00462,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,8248.18,1.76182,1.07181,0.00427,0.80784,0.74568,0.80831,0.47484,1.71982,0.96834,0.00461,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,8452.12,1.76352,1.06213,0.00425,0.77422,0.7598,0.80394,0.47846,1.71608,0.98257,0.00467,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,8656.23,1.7644,1.07629,0.0042,0.78232,0.73828,0.79443,0.47618,1.70838,0.9851,0.0046,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,8860.11,1.75999,1.04587,0.00421,0.78337,0.7438,0.80349,0.48208,1.70457,0.95296,0.00452,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,9064.05,1.75482,1.05798,0.00415,0.79962,0.73975,0.80632,0.48494,1.69574,0.96681,0.00449,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,9268.84,1.74487,1.03606,0.0042,0.769,0.77467,0.8101,0.48076,1.70715,0.96879,0.00453,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,9472.02,1.74543,1.05036,0.0042,0.78618,0.75012,0.80868,0.48117,1.70185,0.95519,0.00458,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,9675.13,1.74866,1.03887,0.00408,0.8263,0.73503,0.81327,0.48397,1.70037,0.96486,0.00445,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,9878.96,1.73937,1.04723,0.00415,0.77843,0.77351,0.81183,0.48459,1.701,0.95467,0.00447,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,10083,1.72927,1.0148,0.00399,0.78361,0.77955,0.81392,0.48789,1.69073,0.94396,0.00447,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,10287.5,1.73421,1.00991,0.00406,0.8364,0.72888,0.81678,0.48789,1.6889,0.93758,0.00445,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,10491.3,1.73405,1.02718,0.00412,0.77695,0.77733,0.80852,0.48394,1.68779,0.94009,0.00436,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,10695,1.73136,1.02298,0.00401,0.78541,0.77182,0.81961,0.49157,1.682,0.94903,0.0043,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,10899,1.72477,1.01069,0.00408,0.81508,0.75719,0.82127,0.49285,1.67636,0.94747,0.00432,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,11102.5,1.71324,0.98837,0.00404,0.82141,0.75414,0.82159,0.49958,1.67187,0.93845,0.0043,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,11306.5,1.71164,0.99512,0.004,0.7994,0.77569,0.82406,0.50158,1.6688,0.95034,0.00427,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,11510.2,1.70694,0.96711,0.004,0.79953,0.77642,0.82402,0.50325,1.66822,0.94227,0.00428,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,11714.1,1.69243,0.97967,0.004,0.79141,0.77945,0.81814,0.50005,1.67039,0.95222,0.00424,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,11917.9,1.72243,0.96579,0.00399,0.7727,0.79506,0.81442,0.49788,1.67459,0.9424,0.00425,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,12121.8,1.71005,0.98585,0.00392,0.80634,0.76662,0.81626,0.50025,1.66632,0.94975,0.00425,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,12325.3,1.70272,0.97549,0.00396,0.79969,0.75752,0.81512,0.50155,1.66523,0.95972,0.00425,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,12529.2,1.69611,0.9614,0.00385,0.79179,0.76389,0.80931,0.49831,1.6646,0.95182,0.00427,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,12732.6,1.68443,0.94716,0.00392,0.80663,0.75631,0.81169,0.49981,1.66476,0.94857,0.00431,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,12937.2,1.68495,0.93831,0.00385,0.81079,0.75726,0.81827,0.50373,1.66349,0.94375,0.00429,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
